__label__Position	The EU should implement a common pension fund
__label__Support	The EU has some rules on how social security systems are coordinated (Regulation 883/2004/EC). EU rules ensure that the pension rights accrued in each country are added together and paid out by the pension insurance institution of the Member State of affiliation. But the bureaucratic nightmare is probably just as guaranteed. A better solution would be a transparent and digital platform that collects pension entitlements from all EU member states. That way, every citizen would have an overview of his or her pension entitlements at all times, not just until when they are due.
__label__Support	I find it distressing and unreasonable to force an individual to leave behind their hard-earned pension pot. There should be a mechanism that stops this practice. Just as I can move myself, my family, furniture, car, and bank accounts freely within the EU, I should have the same right to move and merge my pensions into a single unit.
__label__Support	activists judges aren't the ones shaping the laws. they're not "all" the people for who the laws are voted for. judicial activism has to be limited to only check for overuse of the power by governments
__label__Support	judicial activism relies too heavily upon personal opinion and leads to bias.
__label__Attack	judicial activism allows for common sense to be applied where necessary
__label__Support	a judge shouldnt be able to show their personal views.
__label__Support	judges should follow the letter of the law when making rulings and not make up things based on how they feel.
__label__Support	judicial activism is biased and should be trashed.
__label__Support	the rulings offer a precedent and will become final, despite it potentially overriding any laws.
__label__Support	judicial activism should be limited or altogether removed based on the fact that it is done from a feeling or thought rather than from the law
__label__Attack	judicial activism allows for a check on decrees made by one branch of the government that may think that drastic action is needed for every situation.
__label__Attack	judicial activism is sometimes the best way to get things done
__label__Attack	judicial activism is an important part of our country.
__label__Attack	judicial activism must be supported by all means because judges knows law and they acting inside the law by judicial activism.
__label__Attack	judicial activism can highlight wrong legislation, or deliver accurate justice that cannot be addressed through the existing laws
__label__Attack	all avenues should be looked at, not just the supposedly straight forward.
__label__Support	we should limit judicial activism as it goes outside the set laws and eventually could go to far to one person creating their own agendas.
__label__Support	judicial activism undermines the rule of law
__label__Attack	each case has different circumstances and certain things need to be taken into consideration for each one. judicial activism allow the court to consider the circumstances of each crime.
__label__Support	judges should be limited to upholding law rather than making it. that job is politicians.
__label__Attack	modern days require modern measures and judicial activism brings present day thinking and opinions into important cases to stay up to date
__label__Attack	judicial activism, bringing a personal touch of the judge, is the best way to apply laws and rules for our society.
__label__Support	judges who rule based on their own personal and political beliefs usurp the power of our elected officials and are violating our constitutional rights,
__label__Support	judicial activism should be limited so that judgements are reached based on factual evidence only. allowing personal opinions to cloud the issue can result in mis-trials of justice.
__label__Attack	it is important that the highly experienced, well trained people at the top of the judicial system can use their own experiences and common sense when passing judgments - else anyone could be a judge.
__label__Support	judicial activism should be limited because a judge should not be making all decisions.
__label__Support	judicial activism goes against our system of what is best for the people.
__label__Support	judicial activism would allow for personal grievances to be accepted as truth
__label__Attack	judicial activism allows lawful recourse in circumstances of possible justice miscarriages, and is an extra protection against possible corruption and obstructive 'influence' in the higher court.
__label__Support	it is not fair for opinion to overrule when there are so many different ones.
__label__Attack	judicial activism is necessary to protect the rights of Americans because they seek to weed out the injustices within the system.
__label__Attack	judicial activism is necessary to make sound decisions
__label__Attack	judges are in a position to make a positive change in the world, and should be encouraged to use activism to do so
__label__Attack	judicial activism is a control key put in place for counterbalance the overuse of power of law
__label__Attack	sometimes a case has extenuating circumstances that would require a judge to make a different ruling.
__label__Attack	judicial activism will bring forth new interpretations of the constitution and advance our society
